index;dia;mes;ano;valor
148;3;3;2017;9742.65
149;4;3;2017;14653.41
150;5;3;2017;51332.97
151;8;3;2017;16605.8
152;9;3;2017;3954.61
153;10;3;2017;16477.4
154;11;3;2017;32057.02
155;12;3;2017;104233.21
156;15;3;2017;18032.37
157;16;3;2017;8188.16
158;17;3;2017;18439.12
159;18;3;2017;196344.06
160;19;3;2017;123454.68
161;22;3;2017;10898.71
162;23;3;2017;5001.7
163;24;3;2017;1692.9
164;25;3;2017;29219.22
165;26;3;2017;73906.21
166;29;3;2017;15156.71
167;30;3;2017;6777.5
168;31;3;2017;104451.41
169;1;4;2017;17283.66
170;2;4;2017;67406.11
171;4;4;2017;38444.38
172;6;4;2017;18398.6
173;7;4;2017;18167.36
174;8;4;2017;99895.55
175;9;4;2017;104111.96
176;12;4;2017;28040.36
177;13;4;2017;28622.05
178;14;4;2017;25327.66
179;15;4;2017;12130.25
180;16;4;2017;33179.61
181;19;4;2017;13643.65
182;20;4;2017;10768.06
183;21;4;2017;17195.72
184;22;4;2017;19382.07
185;23;4;2017;66544.11
186;26;4;2017;12941.98
187;27;4;2017;5816.88
188;28;4;2017;10036.25
189;29;4;2017;10088.91
190;30;4;2017;146188.51
191;1;5;2017;9845.6
192;3;5;2017;8317.45
193;4;5;2017;6756.21
194;5;5;2017;12243.9
195;6;5;2017;115372.05
196;7;5;2017;80620.5
197;10;5;2017;17470.64
198;11;5;2017;16631.1
199;12;5;2017;17843.85
200;13;5;2017;73509.2
201;14;5;2017;67085.3
202;17;5;2017;17709.06
203;18;5;2017;7175.06
204;19;5;2017;18635.3
205;20;5;2017;62517
206;21;5;2017;94799.05
207;24;5;2017;20036.5
208;25;5;2017;6926.61
209;26;5;2017;15719.91
210;27;5;2017;76071.3
211;28;5;2017;57752.6
212;31;5;2017;32249.81
213;1;6;2017;5242.9
214;2;6;2017;13126.6
215;3;6;2017;53026.61
216;4;6;2017;120846.95
217;7;6;2017;22360.8
218;8;6;2017;10062.25
219;9;6;2017;18591.8
220;10;6;2017;31028.76
221;11;6;2017;117019.82
222;14;6;2017;21054.61
223;15;6;2017;27057.76
224;16;6;2017;7224.01
225;17;6;2017;108155.11
226;18;6;2017;50874.65
227;21;6;2017;12030.55
228;22;6;2017;8393.2
229;23;6;2017;13837.12
230;24;6;2017;27945.91
231;25;6;2017;64575.81
232;28;6;2017;17804.59
233;29;6;2017;13412.16
234;30;6;2017;8429.91
235;1;7;2017;44287.91
236;2;7;2017;69592.32
237;5;7;2017;24564.3
238;6;7;2017;19027.75
239;7;7;2017;13730.1
240;8;7;2017;44140
241;9;7;2017;94427.82
242;12;7;2017;19206.27
243;13;7;2017;12706.56
244;14;7;2017;11586.76
245;15;7;2017;69513.92
246;16;7;2017;116227.81
247;19;7;2017;110177.2
248;20;7;2017;12155.3
249;21;7;2017;7897.2
250;22;7;2017;24082.93
251;23;7;2017;26322.1
252;25;7;2017;2324.4
253;26;7;2017;26885.36
254;27;7;2017;8706.47
255;28;7;2017;10516.65
256;29;7;2017;17524.61
257;30;7;2017;103471.16
258;2;8;2017;13974.36
259;3;8;2017;9368.91
260;4;8;2017;16737.4
261;5;8;2017;23051.31
262;6;8;2017;46002.2
263;9;8;2017;17793.31
264;10;8;2017;10121.16
265;11;8;2017;15693.63
266;12;8;2017;24636.21
267;13;8;2017;84565.82
268;14;8;2017;2328.98
269;15;8;2017;10898.41
270;16;8;2017;11426.21
271;17;8;2017;11106.41
272;18;8;2017;6719.3
273;19;8;2017;34042.68
274;20;8;2017;58467.97
275;23;8;2017;15414.01
276;24;8;2017;10913.62
277;25;8;2017;9854.22
278;27;8;2017;100795.81
279;31;8;2017;7640.31
280;1;9;2017;23307.11
281;2;9;2017;139017.61
282;3;9;2017;63586.38
283;6;9;2017;25709.31
284;7;9;2017;30569.62
285;9;9;2017;25965.84
286;10;9;2017;97468.77
287;13;9;2017;12559.06
288;14;9;2017;7196.46
289;15;9;2017;38311.3
290;16;9;2017;19855.75
291;17;9;2017;85640.26
292;20;9;2017;15277.85
293;21;9;2017;8647.39
294;22;9;2017;34849.44
295;23;9;2017;12957.35
296;24;9;2017;79659.39
297;27;9;2017;10250.9
298;28;9;2017;8293.6
299;29;9;2017;56733.77
300;30;9;2017;12736.76
301;1;10;2017;125773.26
302;4;10;2017;17035.67
303;5;10;2017;11022.31
304;6;10;2017;45249.75
305;7;10;2017;24195.91
306;8;10;2017;82151.35
307;11;10;2017;25486.27
308;12;10;2017;33778.7
309;13;10;2017;94790.21
310;14;10;2017;28840.21
311;15;10;2017;89150.18
312;18;10;2017;12654.11
313;19;10;2017;6943.25
314;20;10;2017;68889.19
315;21;10;2017;19064.51
316;22;10;2017;121259.43
317;25;10;2017;13830.9
318;26;10;2017;4850.32
319;29;10;2017;68054.05
320;1;11;2017;37376.92
321;2;11;2017;23409.11
322;3;11;2017;13569.2
323;4;11;2017;15788.4
324;5;11;2017;150645.04
325;8;11;2017;10280.75
326;9;11;2017;10471
327;10;11;2017;48829.79
328;11;11;2017;18821.5
329;12;11;2017;141636.69
330;15;11;2017;28219.64
331;16;11;2017;9520
332;17;11;2017;45742.69
333;19;11;2017;83130.46
334;22;11;2017;12606.31
335;23;11;2017;10357.4
336;24;11;2017;7015.55
337;25;11;2017;39701.7
338;26;11;2017;130590.71
339;29;11;2017;13293.15
340;30;11;2017;3374.6
341;1;12;2017;33793.95
342;2;12;2017;92392.93
343;3;12;2017;63995.05
344;5;12;2017;28700
345;6;12;2017;14697.66
346;7;12;2017;3750.9
347;8;12;2017;28924.14
348;9;12;2017;16876.1
349;10;12;2017;149426.31
350;13;12;2017;15538.46
351;14;12;2017;6222.86
352;15;12;2017;26130.8
353;16;12;2017;10366
354;17;12;2017;112153.3
355;20;12;2017;18869.94
356;21;12;2017;5088.9
357;22;12;2017;49271.46
358;23;12;2017;9361.21
359;24;12;2017;112681.61
360;25;12;2017;6740
361;27;12;2017;24569.21
362;28;12;2017;24094.99
363;29;12;2017;98662.46
364;30;12;2017;99745.9
365;31;12;2017;61790.9
366;3;1;2018;33285.66
367;4;1;2018;14355.3
368;5;1;2018;58198.41
369;6;1;2018;23219.31
370;7;1;2018;89174.89
371;10;1;2018;23231.41
372;11;1;2018;7708.72
373;12;1;2018;35885.8
374;13;1;2018;13387.51
375;14;1;2018;83992.99
376;17;1;2018;21533.66
377;18;1;2018;4900.7
378;19;1;2018;32356.2
379;20;1;2018;13565.7
380;21;1;2018;74321.31
381;24;1;2018;14610.86
382;25;1;2018;6582.2
383;26;1;2018;34965.15
384;27;1;2018;11418.06
385;28;1;2018;66729.21
386;31;1;2018;15294.35
387;1;2;2018;5105.1
388;2;2;2018;11306.85
389;3;2;2018;4587
390;4;2;2018;51521.46
391;6;2;2018;53271.05
392;7;2;2018;10460.1
393;8;2;2018;4650
394;9;2;2018;21984
395;10;2;2018;67828.91
396;11;2;2018;91575.3
397;12;2;2018;6646.4
398;13;2;2018;5983.1
399;14;2;2018;5961.25
400;15;2;2018;2913.3
401;16;2;2018;12022.27
402;17;2;2018;10428.51
403;18;2;2018;35981.9
404;21;2;2018;11268.67
405;22;2;2018;1849.1
406;23;2;2018;23176.2
407;25;2;2018;67689.1
408;28;2;2018;10906.7
409;1;3;2018;5440.6
410;2;3;2018;35560.2
411;4;3;2018;74126.4
412;7;3;2018;11757.9
413;8;3;2018;14289
414;9;3;2018;21883.31
415;10;3;2018;24386
416;11;3;2018;72032
417;12;3;2018;0.06
418;13;3;2018;0.02
419;14;3;2018;12335.25
420;15;3;2018;11092.2
421;16;3;2018;31982
422;17;3;2018;14576.7
423;18;3;2018;35417.6
424;21;3;2018;3046
425;22;3;2018;12825.6
426;23;3;2018;36765.91
427;24;3;2018;5728.2
428;25;3;2018;60130.8
429;28;3;2018;16332.75
430;29;3;2018;8149.5
431;30;3;2018;12126.8
432;31;3;2018;14331.9
433;1;4;2018;47337.7
434;4;4;2018;12564.45
435;5;4;2018;12053.1
436;6;4;2018;36875.39
437;7;4;2018;17305.95
438;8;4;2018;61262.82
439;11;4;2018;7875.5
440;12;4;2018;7269.9
441;13;4;2018;22762.9
442;14;4;2018;31186.2
443;15;4;2018;51868.4
444;16;4;2018;32029.9
445;18;4;2018;15618.95
446;19;4;2018;5956.2
447;20;4;2018;44299.97
448;21;4;2018;14811.5
449;22;4;2018;153539.6
450;25;4;2018;8999.45
451;26;4;2018;9219.9
452;27;4;2018;19690.69
453;28;4;2018;14934.6
454;29;4;2018;82429.46
455;30;4;2018;120662.65
456;1;5;2018;10694.8
457;2;5;2018;7588.7
458;3;5;2018;5921.1
459;4;5;2018;20014.34
460;5;5;2018;13663.3
461;6;5;2018;50841.55
462;8;5;2018;44075.6
463;9;5;2018;10072.8
464;10;5;2018;5027.2
465;11;5;2018;30784.95
466;12;5;2018;16375.2
467;13;5;2018;52827.9
468;16;5;2018;12950.95
469;17;5;2018;3919.2
470;18;5;2018;27544.87
471;19;5;2018;116429.15
472;20;5;2018;37092.39
473;23;5;2018;11170.95
474;24;5;2018;15472.2
475;25;5;2018;17442.4
476;26;5;2018;9289.3
477;27;5;2018;68181.3
478;30;5;2018;20163.65
479;31;5;2018;21077
480;1;6;2018;33258.79
481;2;6;2018;18778.5
482;3;6;2018;92839.3
483;6;6;2018;16714.4
484;7;6;2018;11881.37
485;8;6;2018;18163.5
486;9;6;2018;21185.5
487;10;6;2018;60323.5
488;12;6;2018;42747.26
489;13;6;2018;13039.45
490;14;6;2018;7533.56
491;15;6;2018;21004.5
492;16;6;2018;14247.65
493;17;6;2018;79051.2
494;18;6;2018;12775.4
495;20;6;2018;11747.2
496;21;6;2018;16415.3
497;22;6;2018;74946.4
498;23;6;2018;11162.35
499;24;6;2018;54932.9
500;27;6;2018;27827.2
501;28;6;2018;6396.5
502;29;6;2018;7345.75
503;30;6;2018;84730.4
504;1;7;2018;10871.8
505;2;7;2018;22438.28
506;4;7;2018;13233.77
507;5;7;2018;9127.8
508;6;7;2018;96820.5
509;7;7;2018;11860.5
510;8;7;2018;78575.2
511;11;7;2018;18630.75
512;12;7;2018;12478.7
513;13;7;2018;16649.35
514;14;7;2018;18013.18
515;15;7;2018;68874.45
516;18;7;2018;22491.3
517;19;7;2018;15618.21
518;20;7;2018;16915.1
519;21;7;2018;21870.9
520;22;7;2018;73683.7
521;25;7;2018;106912.45
522;26;7;2018;5217.8
523;27;7;2018;19583.28
524;28;7;2018;20783.2
525;29;7;2018;30851.5
526;1;8;2018;16025.35
527;2;8;2018;11999.5
528;3;8;2018;12764.8
529;4;8;2018;20694.36
530;5;8;2018;77401.7
531;8;8;2018;11540.9
532;9;8;2018;11582.9
533;10;8;2018;14238.3
534;12;8;2018;89895.95
535;14;8;2018;63964.3
536;15;8;2018;20807.55
537;16;8;2018;11219.2
538;17;8;2018;31173.9
539;18;8;2018;21213.8
540;19;8;2018;70020.9
541;22;8;2018;18669.2
542;23;8;2018;9535.8
543;24;8;2018;15947.16
544;26;8;2018;74479.35
545;29;8;2018;12159.05
546;30;8;2018;9375.5
547;31;8;2018;75441.2
548;1;9;2018;21439.4
549;2;9;2018;141574.36
550;5;9;2018;19460.65
551;7;9;2018;20131.35
552;9;9;2018;73321.95
553;12;9;2018;10817.6
554;13;9;2018;7501.4
555;14;9;2018;14632.2
556;15;9;2018;18657.3
557;16;9;2018;91669.4
558;19;9;2018;15572.05
559;20;9;2018;11448.55
560;21;9;2018;32258.55
561;22;9;2018;17948.5
562;23;9;2018;99973.9
563;26;9;2018;13598.15
564;27;9;2018;9937.2
565;28;9;2018;21288.81
566;29;9;2018;20712.3
567;30;9;2018;85709.6
568;3;10;2018;15895.5
569;4;10;2018;9273
570;5;10;2018;16079.25
571;6;10;2018;29740.6
572;7;10;2018;45392.7
573;10;10;2018;15858.59
574;11;10;2018;10426.85
575;12;10;2018;49380
576;13;10;2018;1006
577;14;10;2018;117363.6
578;17;10;2018;13757
579;18;10;2018;8507.8
580;19;10;2018;11581.7
581;20;10;2018;26245.9
582;21;10;2018;78560.85
583;24;10;2018;17529.25
584;25;10;2018;7865.8
585;26;10;2018;64380.3
586;27;10;2018;17235.1
587;28;10;2018;62124.4
588;31;10;2018;17325.9
